Event Id,Restaurant Id,Restaurant Name,Photo URL,Event Title,Event Start Date,Event End Date
336644,18856789,AIR- An Ivory Region,https://b.zmtcdn.com/data/zomato_events/photos/46f/1c1651fcd360fe1468cfc06125b1646f_1554705305.jpg,Dhol Bhangra Night,2019-04-10,2019-04-11
336889,18382360,Local,NA,Cocktail Wednesday,2019-04-10,2019-04-10
336888,18382360,Local,NA,Cocktail Wednesday,2019-04-10,2019-04-10
336890,18382360,Local,https://b.zmtcdn.com/data/zomato_events/photos/193/bed72acb4c93b8affeba209ccad08193_1554726578.jpg,Cocktail Wednesday,2019-04-10,2019-04-10
336894,18382360,Local,https://b.zmtcdn.com/data/zomato_events/photos/f6c/0aea33156c313eef2343ac6f0e0a5f6c_1554726952.jpg,Hip Hop Friday,2019-04-12,2019-04-12
336903,18382360,Local,https://b.zmtcdn.com/data/zomato_events/photos/5ee/165894b7ce0bfd2812796a3f8c6f15ee_1554728236.jpg,Urban Saturday,2019-04-13,2019-04-13
336622,18466951,Jungle Jamboree,https://b.zmtcdn.com/data/zomato_events/photos/ffe/96d21e7be18ea0bbc2d7f44496697ffe_1554702984.jpg,Special Navratras Thali at just @399 +Taxes at Jungle Jamboree,2019-04-08,2019-04-13
336251,18337893,The Luggage Room Kitchen And Bar,https://b.zmtcdn.com/data/zomato_events/photos/799/108cf02227f93ebf23d0931aad9c6799_1554553534.jpeg,Commercial Night,2019-04-10,2019-04-11
336248,18337893,The Luggage Room Kitchen And Bar,https://b.zmtcdn.com/data/zomato_events/photos/64f/6b5003ddf79e8c67cb0ce2e8a17aa64f_1554552608.jpeg,Ladies Night,2019-04-11,2019-04-11
337099,18571735,Dum Laga Ke Haishaa,https://b.zmtcdn.com/data/zomato_events/photos/bd5/f3d41368563de4717c134eb22144bbd5_1554791503.jpg,Live Sports Screening,2019-04-09,2019-05-18
337096,18571735,Dum Laga Ke Haishaa,https://b.zmtcdn.com/data/zomato_events/photos/484/5e127cada3fadb0325231b4af17a7484_1554791314.jpg,Poila Baishak,2019-04-14,2019-04-15
337102,18571735,Dum Laga Ke Haishaa,https://b.zmtcdn.com/data/zomato_events/photos/42d/5ff1422e615ed8199844db6c6839342d_1554791652.jpg,Poila Baishak Special,2019-04-14,2019-04-15
334818,18398880,JW Kitchen - JW Marriott Hotel Kolkata,https://b.zmtcdn.com/data/zomato_events/photos/cd3/63b861ffce13a6772331351c3d4a7cd3_1554270291.jpeg,Poila Baishakh Buffet ,2019-04-15,2019-04-15
337247,18761167,Echoes Kolkata,https://b.zmtcdn.com/data/zomato_events/photos/fd4/28cb2e167c37cb93352c8d7ff086ffd4_1554804343.jpg,Celebrate Poila Boishak with Echoes,2019-04-15,2019-04-15
333108,18751849,Five Mad Men,https://b.zmtcdn.com/data/zomato_events/photos/c36/7f0216962bad1b7239eb65be4e79ac36_1553939104.jpg,Apna Stadium Khud Chuno - IPL 2019 Big Match Day,2019-04-03,2019-05-05
334920,18751849,Five Mad Men,https://b.zmtcdn.com/data/zomato_events/photos/d2e/33c4ccd53ddb4032a84e21c79e166d2e_1554444408.jpg,Ladies Night,2019-04-11,2019-04-11
334922,18751849,Five Mad Men,https://b.zmtcdn.com/data/zomato_events/photos/ee3/13745a8a0307c436afac7fc4f2cdfee3_1554282159.jpg,Game of Thrones - Special Screening of season 8,2019-04-15,2019-04-15
336892,18392725,Tamasha,https://b.zmtcdn.com/data/zomato_events/photos/226/ba2b3f29cb4ad068b5c24e2be8a47226_1554726923.jpg,Bombay Velvet,2019-04-11,2019-04-12
336898,18392725,Tamasha,https://b.zmtcdn.com/data/zomato_events/photos/4d5/714bbc76d08697beb0a92b7a164f04d5_1554727292.jpg,Zulfi Performing Live,2019-04-12,2019-04-13
336881,18566818,JLWA,https://b.zmtcdn.com/data/zomato_events/photos/ee5/3136ce776bb5713020dc50098b29bee5_1554725717.jpg,Juggy & Band Live,2019-04-10,2019-04-11
318235,48851,Rude Lounge,https://b.zmtcdn.com/data/zomato_events/photos/4d5/13623423b8a28744a3d0fdbeee5754d5_1551098744.jpg,Zumba Fitness with ZIN Mohsin & ZIN Varsha at Rude Powai,2019-04-20,2019-04-20
337298,18205932,The Cult - Peninsula Grand Hotel,https://b.zmtcdn.com/data/zomato_events/photos/779/9c795d7fe0945fd03311ca0a1d4d4779_1554810004.jpg,Happy Hours ,2019-04-09,2020-05-29
336620,18205932,The Cult - Peninsula Grand Hotel,https://b.zmtcdn.com/data/zomato_events/photos/fb7/1d739bd9adde62656223c325dc1cffb7_1554702895.jpg,Glam & Glitz Bolly Molly Ladies Retro Night,2019-04-10,2019-04-11
336992,18205932,The Cult - Peninsula Grand Hotel,https://b.zmtcdn.com/data/zomato_events/photos/31a/2ef46c5df1053dbe761c310e54e5731a_1554736500.jpg,MTV Swag Ladies Night ,2019-04-11,2019-04-12
337480,18205932,The Cult - Peninsula Grand Hotel,https://b.zmtcdn.com/data/zomato_events/photos/4bc/fb22c3cb199bcee76f159b87476fb4bc_1554830904.jpg,Friday Night,2019-04-12,2019-04-13
337300,18205932,The Cult - Peninsula Grand Hotel,https://b.zmtcdn.com/data/zomato_events/photos/f2c/379de3e6f9d48b0d43db2e83a8a4bf2c_1554810208.jpg,Saturday Night,2019-04-13,2019-04-14
337023,18205932,The Cult - Peninsula Grand Hotel,https://b.zmtcdn.com/data/zomato_events/photos/667/b3386da080734d28b323598100093667_1554751324.jpg,Sunday Night ,2019-04-14,2019-04-15
336281,18580259,Coffee Culture,https://b.zmtcdn.com/data/zomato_events/photos/307/17dd56fc03fc0a87c182a5dd9df10307_1554562379.jpg,Ink-A-Laugh Presents Bearly Funny,2019-04-11,2019-04-11
336279,18580259,Coffee Culture,NA,"Stand Up Comedy @ Coffee Culture, Bandra On Every Thursday !",2019-04-18,2019-04-18
335948,18772094,Bombay Adda,https://b.zmtcdn.com/data/zomato_events/photos/e42/9bc929b0f3d42c75d9f8b200c58a8e42_1554468914.jpg,Ladies & Models Night Ft. DJ Njay,2019-04-11,2019-04-12
335953,18772094,Bombay Adda,https://b.zmtcdn.com/data/zomato_events/photos/5b9/8b95311c377aeb3c52778b4787b465b9_1554469109.jpg,Friday Night Ft. Kaleem & Basand,2019-04-12,2019-04-13
335954,18772094,Bombay Adda,https://b.zmtcdn.com/data/zomato_events/photos/7ff/80001b30b1ecbc35a214ac16867857ff_1554469271.jpg,Saturday Night Ft. Kaleem & Basand,2019-04-13,2019-04-14
335989,18772094,Bombay Adda,https://b.zmtcdn.com/data/zomato_events/photos/daf/f8880703cde05ef2d9a60c58fef8edaf_1554471175.jpg,Unplugged Night Ft. Saher,2019-04-14,2019-04-15
334204,18387426,The Black Pearl,https://b.zmtcdn.com/data/zomato_events/photos/f38/eea3d5b94fc9a3385ab5193173f17f38_1554190514.jpeg,Multiple Corporate Offers at the Black Pearl Marathahalli ,2019-04-02,2020-03-31
334206,18387426,The Black Pearl,https://b.zmtcdn.com/data/zomato_events/photos/f17/c049f9aeddd7129eb083bb426172cf17_1554190681.jpeg,Early Bird & Late Bird Offers at Black Pearl ,2019-04-02,2020-03-31
334210,18387426,The Black Pearl,https://b.zmtcdn.com/data/zomato_events/photos/763/823547a36ed40f9b4bec7ab5f4b25763_1554190858.jpeg,Cocktails and Mocktails offers at Black Pearl ,2019-04-02,2020-03-31
336921,54162,The Black Pearl,https://b.zmtcdn.com/data/zomato_events/photos/f93/c3f8ad86820067b04cd99322f8a55f93_1554730197.jpeg,Unlimited Alcohol Offers at The Black Pearl,2019-04-08,2020-03-31
336924,54162,The Black Pearl,https://b.zmtcdn.com/data/zomato_events/photos/2d6/138ca755a6df9ffa0e24ab4f6a4c02d6_1554730441.jpeg,"Every 11 pax get 1 free buffet, Every 20 pax get 2 free buffet",2019-04-08,2020-03-31
